"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2022","EQ","1,759.00","1,794.00","1,759.00","1,767.65","1,786.20","1,790.10","1,778.97","2,078.55","1,306.00",2050573,"3,647,906,688.70",43594
"31-Mar-2022","EQ","1,779.95","1,781.35","1,758.00","1,773.60","1,767.85","1,767.65","1,767.17","2,078.55","1,306.00",1401916,"2,477,424,949.85",81927
"30-Mar-2022","EQ","1,766.90","1,777.05","1,754.10","1,746.65","1,774.15","1,773.60","1,767.48","2,078.55","1,306.00",1712835,"3,027,398,452.65",113982
"29-Mar-2022","EQ","1,748.70","1,754.10","1,733.00","1,741.60","1,750.50","1,746.65","1,740.81","2,078.55","1,306.00",2071779,"3,606,582,553.65",95728
"28-Mar-2022","EQ","1,752.00","1,755.00","1,725.10","1,751.10","1,740.05","1,741.60","1,739.14","2,078.55","1,306.00",1799629,"3,129,814,804.10",70676
"25-Mar-2022","EQ","1,775.60","1,777.90","1,739.00","1,771.55","1,752.55","1,751.10","1,754.24","2,078.55","1,306.00",1483897,"2,603,114,016.65",95988
"24-Mar-2022","EQ","1,755.00","1,779.70","1,751.00","1,767.25","1,766.90","1,771.55","1,768.34","2,078.55","1,306.00",1580887,"2,795,540,138.40",82549
"23-Mar-2022","EQ","1,780.00","1,791.55","1,759.15","1,774.05","1,765.00","1,767.25","1,771.67","2,078.55","1,306.00",1574226,"2,789,003,570.65",61568
"22-Mar-2022","EQ","1,756.30","1,777.00","1,721.15","1,756.30","1,774.85","1,774.05","1,746.78","2,078.55","1,306.00",3986030,"6,962,726,010.40",135555
"21-Mar-2022","EQ","1,805.00","1,805.00","1,745.00","1,787.90","1,754.70","1,756.30","1,765.91","2,078.55","1,306.00",2301462,"4,064,165,465.85",92723
"17-Mar-2022","EQ","1,781.15","1,804.60","1,768.45","1,756.20","1,791.00","1,787.90","1,789.50","2,078.55","1,306.00",3383036,"6,053,956,464.80",107909
"16-Mar-2022","EQ","1,761.00","1,770.65","1,746.20","1,743.45","1,756.00","1,756.20","1,757.12","2,078.55","1,306.00",2101909,"3,693,304,374.95",79220
"15-Mar-2022","EQ","1,748.00","1,765.00","1,726.60","1,746.75","1,743.60","1,743.45","1,747.43","2,078.55","1,306.00",2062332,"3,603,780,730.95",91506
"14-Mar-2022","EQ","1,735.00","1,754.00","1,715.50","1,728.65","1,753.25","1,746.75","1,737.41","2,078.55","1,306.00",1558334,"2,707,460,861.75",62543
"11-Mar-2022","EQ","1,720.00","1,735.45","1,705.80","1,728.20","1,726.80","1,728.65","1,726.73","2,078.55","1,306.00",1577597,"2,724,076,300.90",102049
"10-Mar-2022","EQ","1,740.00","1,758.00","1,707.00","1,690.95","1,725.00","1,728.20","1,733.58","2,078.55","1,306.00",2776325,"4,812,982,965.00",137172
"09-Mar-2022","EQ","1,676.50","1,699.80","1,650.05","1,658.50","1,690.65","1,690.95","1,679.88","2,078.55","1,306.00",3306502,"5,554,522,730.10",107410
"08-Mar-2022","EQ","1,627.90","1,666.00","1,595.00","1,634.45","1,657.40","1,658.50","1,627.79","2,078.55","1,306.00",4421730,"7,197,646,250.10",161579
"07-Mar-2022","EQ","1,658.25","1,666.80","1,605.55","1,711.75","1,640.00","1,634.45","1,627.93","2,078.55","1,306.00",6318251,"10,285,674,264.35",287087
"04-Mar-2022","EQ","1,740.00","1,754.05","1,703.00","1,752.30","1,710.65","1,711.75","1,718.56","2,078.55","1,306.00",3906819,"6,714,110,383.15",175780
"03-Mar-2022","EQ","1,810.00","1,813.55","1,745.55","1,784.50","1,757.50","1,752.30","1,770.66","2,078.55","1,306.00",2259979,"4,001,652,378.15",135995
"02-Mar-2022","EQ","1,800.00","1,826.95","1,768.50","1,816.75","1,795.55","1,784.50","1,788.62","2,078.55","1,306.00",3152628,"5,638,864,084.70",147873
"28-Feb-2022","EQ","1,764.90","1,822.25","1,752.80","1,777.05","1,815.50","1,816.75","1,798.40","2,078.55","1,306.00",2553662,"4,592,513,516.45",109320
"25-Feb-2022","EQ","1,782.00","1,798.70","1,765.00","1,757.35","1,780.00","1,777.05","1,781.84","2,078.55","1,306.00",2476882,"4,413,409,130.75",163477
"24-Feb-2022","EQ","1,783.25","1,800.00","1,751.00","1,820.30","1,757.75","1,757.35","1,776.32","2,078.55","1,306.00",3616355,"6,423,797,117.20",217872
